source,pui,pmid,doi,title,year,journal,authors,pubtype,issn,volume,issue,pages
embase,2039987775,40803240,10.1016/j.jiph.2025.102919,Performance comparison of two dengue NS1 rapid diagnostic tests against RT-PCR: Sensitivity and specificity across infections and timeframes,2025,Journal of Infection and Public Health,"Liu, L.-T.; Chen, P.-C.; Lin, C.-H.; Huang, S.-Y.; Chen, C.-H.; Tsai, C.-Y.; Lin, P.-C.; Yang, C.-Y.; Tsai, J.-J.",Article,1876035X,18,11,102919
embase,2041492799,,10.3390/vaccines13111103,CD4@sup_begin+@sup_end T Cells Are Key to Shaping a Protective Humoral Immunity in Primary Dengue 2 Virus Infection: Implications for Rational Vaccine Design,2025,Vaccines,"Miranda-Santiago, A.E.; Serrano-Collazo, C.; Cruz, L.A.; Henein, S.; Alvarez, L.; Arana, T.; Sánchez-Bibiloni, J.L.; Martinez, M.I.; Roman, C.; Burgos, A.G.; Ramos-Benitez, M.J.; Caro-Rivera, L.M.; Brien, J.D.; Pinto, A.K.; de Silva, A.M.; Sariol, C.A.",Article,2076393X,13,11,1103
embase,2037264035,,10.70034/ijmedph.2025.4.34,"EVALUATING CLINICAL, LABORATORY, AND IMAGING MARKERS IN DENGUE: ASSOCIATIONS WITH DISEASE SEVERITY AND NS1 ANTIGEN LEVELS",2025,International Journal of Medicine and Public Health,"Rai, A.; Sheoran, S.; Tiwari, D.; Vohra, G.S.; Kaur, G.; Aggarwal, R.; Ajay, G.; Mittal, P.",Article,22308598,15,4,
embase,2037407890,41171893,10.1371/journal.pntd.0013168,Engineered Nanobodies for early and accurate diagnosis of dengue virus infection,2025,PLOS Neglected Tropical Diseases,"Pavan, M.F.; Malnero, C.M.; Alvarado, M.E.M.; Carzoglio, M.C.; Rojas, Y.P.; Bruno, A.; Vidakovics, L.P.; Hanke, L.; Castello, A.; McInerney, G.; García, C.C.; Parreño, V.; Ibañez, L.I.",Article,19352735,19,10,e0013168
embase,2037449994,,10.70034/ijmedph.2025.4.254,A PROSPECTIVE STUDY ON CLINICAL AND LABORATORY PREDICTIVE MARKERS OF DENGUE FEVER IN CHILDREN IN TERTIARY CARE HOSPITAL,2025,International Journal of Medicine and Public Health,"Sura, B.; Nareddy, V.A.; Naveen, S.R.",Article,22308598,15,4,
embase,2037450022,,10.70034/ijmedph.2025.4.249,MEAN PLATELET VOLUME AS A PREDICTOR OF CLINICAL OUTCOMES IN DENGUE FEVER: A PROGNOSTIC STUDY,2025,International Journal of Medicine and Public Health,"Sathiyanarayanan, S.; Krithiga, M.; Kumar, V.L.; Jeyaprakash, P.; Vijayabaskar, P.",Article,22308598,15,4,
embase,2037450069,,10.70034/ijmedph.2025.4.217,EARLY PREDICTION OF SEVERE DENGUE IN PATIENTS WITH MILD TO MODERATE ILLNESS WITH SPECIFIC AND NON-SPECIFIC LABORATORY MARKERS,2025,International Journal of Medicine and Public Health,"Sharmila, S.; Gayathiri, R.; Debbarma, D.",Article,22308598,15,4,
embase,2037728612,,10.70034/ijmedph.2025.4.445,"A COMPARATIVE STUDY OF RAPID IMMUNOCHROMATOGRAPHY TEST WITH ELISA FOR DETECTION OF DENGUE NS1 ANTIGEN, IgM AND IgG ANTIBODY",2025,International Journal of Medicine and Public Health,"Kumari, S.; Shailendra, K.",Article,22308598,15,4,
embase,2040195403,40835166,10.1016/j.jiac.2025.102797,"Dengue virus serotype 4 infection diagnosed not by rapid antigen test, but by real-time reverse transcription-PCR and enzyme-linked immunosorbent assay: A case report",2025,Journal of Infection and Chemotherapy,"Oshiro, R.; Hayakawa, K.; Maeki, T.; Tajima, S.; Taniguchi, S.; Lim, C.-K.; Akiyama, Y.; Yamamoto, K.; Ide, S.; Furumoto, A.; Ohmagari, N.",Article,14377780,31,10,102797
embase,648896075,,10.1093/clinchem/hvaf086.275,Development and basic performance of a dengue virus NS1 detection reagent based on Chemiluminescent Enzyme Immunoassay,2025,Clinical Chemistry,"Kuroda, N.; Takahashi, R.; Tanaka, C.; Ando, T.; Takahashi, K.; Nambara, D.; Kojima, S.; Aoyagi, K.",Conference Abstract,00099147,71,,
embase,2040927962,,10.1101/2025.09.07.674709,Utility of recombinant envelope domain III as a diagnostic antigen for the specific detection of Kyasanur Forest Disease,2025,bioRxiv,"Hafeez, S.; Achur, R.; Sreekumar, E.; Srinivasan, A.; Kumari, S.; Thippeswamy, N.B.",Preprint,26928205,,,
embase,2038633594,40344737,10.1016/j.ejmech.2025.117717,"Design, synthesis and biological evaluation of dapsone derivatives with broad-spectrum antiviral activity",2025,European Journal of Medicinal Chemistry,"Lin, R.; Han, J.; He, Y.; Xie, L.; Gao, T.; Chen, Y.; Zhong, Y.; Ding, Q.; Cheng, K.; Yao, X.; Chen, Z.",Article,17683254,293,,117717
embase,2035241613,,10.1007/s13337-025-00930-0,"Correlation of clinical, biochemical and molecular profile of dengue with disease severity",2025,VirusDisease,"Thakur, P.; Ratho, R.K.; Sharma, N.; Bora, I.; Singh, M.P.; Thakur, V.",Article,23473517,36,3,
